Description,Stop ID,Longitude,Latitude,Routes,Municipality,Nearest Intersection,Bikerack,Bench,Shelter,Info Booth,Signpost,Discontinued,Location,NYS Municipal Boundaries,New York Zip Codes,Counties
Water St & Columbia St,12337,-73.74812,42.65189,224,ALBANY,RAMP,No,No,No,No,Yes,No,"{'latitude': '42.65189', 'longitude': '-73.74812'}",814,44,2030
Columbia St & Masten Ave,4010,-73.7125,42.77201,"522, 802",COHOES,MASTEN,No,No,No,No,Yes,No,"{'latitude': '42.77201', 'longitude': '-73.7125'}",835,1176,2030
15th St & Massachusetts Ave,12379,,,289,TROY,SAUSSE,No,No,No,No,Yes,No,,,,
Pawling Ave & Pinewoods Ave,4336,-73.672631,42.718524,"286, 289",TROY,PAWLING,No,No,No,No,Yes,No,"{'latitude': '42.718524', 'longitude': '-73.672631'}",110,11,2138
Manor Ave & Arthur Dr,4161,-73.72692,42.78528,"522, 802",COHOES,RUDOLPH,No,No,No,No,Yes,No,"{'latitude': '42.78528', 'longitude': '-73.72692'}",835,1176,2030
Washington Ave & Colvin Ave,1959,-73.79748,42.67657,"12, 114",ALBANY,EILEEN,No,No,No,No,Yes,No,"{'latitude': '42.67657', 'longitude': '-73.79748'}",814,43,2030
Douglas Ct & Rt 7,2461,-73.84209,42.77849,370,NISKAYUNA,STATE HWY 7,No,No,No,No,Yes,No,"{'latitude': '42.77849', 'longitude': '-73.84209'}",107,78,2142
Lark St & Washington Ave,353,-73.763464,42.656545,"13,18,734,763,801, 870",ALBANY,STATE HWY 5,No,No,No,No,Yes,No,"{'latitude': '42.656545', 'longitude': '-73.763464'}",814,47,2030
Rt 50 & Van Buren St,2315,-73.849103,43.005321,"450, 451",MILTON,VAN BUREN,No,No,No,No,Yes,No,"{'latitude': '43.005321', 'longitude': '-73.849103'}",999,1148,2141
Broadway & N. 2nd St,11005,-73.738318,42.671924,"22,801, 805",ALBANY,SOUTH,No,No,Yes,No,Yes,No,"{'latitude': '42.671924', 'longitude': '-73.738318'}",814,41,2030
Curry Rd & Hollywood Ave,1558,-73.95865,42.78143,763,ROTTERDAM,HOLLYWOOD,No,No,No,No,Yes,No,"{'latitude': '42.78143', 'longitude': '-73.95865'}",105,75,2142
Wolf Rd & Speedway / Pier 1 Imports,10518,-73.803756,42.720562,"117, 190",COLONIE,CERONE COMMERCIAL,No,No,No,No,Yes,No,"{'latitude': '42.720562', 'longitude': '-73.803756'}",834,42,2030
S. Pearl St & Binghamton St,10711,,,806,ALBANY,BINGHAMPTON,No,No,No,No,Yes,No,,,,
2nd Ave & Sloan St,3292,-73.764546,42.638719,"6,801,803,804, 809",ALBANY,KRANK,No,No,No,No,Yes,No,"{'latitude': '42.638719', 'longitude': '-73.764546'}",814,39,2030
Western Ave & N. Main Ave,3428,-73.78833,42.665376,"10,11, 808",ALBANY,MAIN,No,No,No,No,Yes,No,"{'latitude': '42.665376', 'longitude': '-73.78833'}",814,40,2030
19th St & Fenimore Apts,3760,-73.71677,42.73434,370,WATERVLIET,GROTTO,No,No,No,No,Yes,No,"{'latitude': '42.73434', 'longitude': '-73.71677'}",828,19,2030
Van Vranken Ave & Wood Ave,11283,-73.91781,42.83427,351,SCHENECTADY,HILLSIDE,No,Yes,Yes,No,Yes,No,"{'latitude': '42.83427', 'longitude': '-73.91781'}",104,77,2142
Vandenburg Ave & Morrison Ave,4238,-73.68917,42.70065,"85, 224",TROY,VANDENBURGH,No,No,No,No,Yes,No,"{'latitude': '42.70065', 'longitude': '-73.68917'}",110,11,2138
Broadway & Pleasant St,117,-73.74385,42.66256,"22,801,804, 805",ALBANY,PLEASANT,No,No,No,No,Yes,No,"{'latitude': '42.66256', 'longitude': '-73.74385'}",814,44,2030
Fuller Rd & Mercer St,12665,,,"117, 190",GUILDERLAND,MERCER,No,No,No,No,Yes,No,,,,
Kenwood Ave & Union Ave,1383,-73.85895,42.62836,719,BETHLEHEM,KENWOOD,No,No,No,No,Yes,No,"{'latitude': '42.62836', 'longitude': '-73.85895'}",837,1406,2030
3rd St & John St,11413,-73.73576,42.64782,"214, 808",RENSSELAER,JOHN,No,No,No,No,Yes,No,"{'latitude': '42.64782', 'longitude': '-73.73576'}",115,1309,2138
Clinton Ave & Quail St,3400,-73.770945,42.666429,"125, 801",ALBANY,LAKE,No,No,No,No,Yes,No,"{'latitude': '42.666429', 'longitude': '-73.770945'}",814,43,2030
New Scotland Ave & S. Lake St (Sage College),1050,-73.78372,42.6528,"13,100, 801",ALBANY,WOODLAWN,No,Yes,Yes,No,Yes,No,"{'latitude': '42.6528', 'longitude': '-73.78372'}",814,40,2030
Hackett Blvd & New Scotland Ave,11745,-73.81622,42.65617,"734, 806",ALBANY,COLLINS,No,No,No,No,Yes,No,"{'latitude': '42.65617', 'longitude': '-73.81622'}",814,45,2030
Washington Ave & Birchwood Ave,10774,-73.70774,42.65513,"214, 808",RENSSELAER,BIRCHWOOD,No,No,No,No,Yes,No,"{'latitude': '42.65513', 'longitude': '-73.70774'}",115,1309,2138
Northern Blvd & Park Rd,3395,-73.757296,42.667806,"182, 737",ALBANY,PARK,No,No,Yes,No,Yes,No,"{'latitude': '42.667806', 'longitude': '-73.757296'}",814,43,2030
Lark Dr & Capital Woods Apts #3,667,-73.752357,42.664637,"100,138,801,803, 805",ALBANY,DUDLEY PL,No,No,Yes,No,Yes,No,"{'latitude': '42.664637', 'longitude': '-73.752357'}",814,47,2030
Columbia St & Delta Blvd,12681,,,182,COLONIE,COLUMBIA,No,No,No,No,Yes,No,,,,
New Loudon Rd & Burton Ln,11065,-73.75516,42.70839,182,COLONIE,BURTON,No,No,No,No,Yes,No,"{'latitude': '42.70839', 'longitude': '-73.75516'}",834,48,2030
Albany Shaker Rd & Tipton Dr,2712,-73.77467,42.70218,737,COLONIE,TIPTON,No,No,No,No,Yes,No,"{'latitude': '42.70218', 'longitude': '-73.77467'}",834,48,2030
Broadway & Huestis Ct,12876,-73.786641,43.076539,875,SARATOGA SPRINGS,CIRCULAR,No,No,No,No,Yes,No,"{'latitude': '43.076539', 'longitude': '-73.786641'}",994,147,2141
Rt 7 & Mohegan Rd,2481,-73.874745,42.792592,370,NISKAYUNA,MOHEGAN,No,No,No,No,Yes,No,"{'latitude': '42.792592', 'longitude': '-73.874745'}",107,78,2142
S. Pearl St & 4th Ave,427,-73.75829,42.639,"6,7,716,801,803,804,805,806, 809",ALBANY,4TH,No,No,No,No,Yes,No,"{'latitude': '42.639', 'longitude': '-73.75829'}",814,39,2030
Airline Drive @ CBA Entrance,12641,-73.820896,42.733424,155,COLONIE,UNKNOWN,No,No,No,No,Yes,No,"{'latitude': '42.733424', 'longitude': '-73.820896'}",834,42,2030
School St & Prospect St,12758,-73.939465,42.658603,719,NEW SCOTLAND,PROSPECT,No,No,No,No,Yes,No,"{'latitude': '42.658603', 'longitude': '-73.939465'}",830,16,2030
Broadway & Hudson Ave - Broadway Station,3937,-73.75066,42.64812,"1,13,18,114,214,233,520,531,737,763,801,807,808,870, 905",ALBANY,HUDSON,No,Yes,Yes,No,Yes,No,"{'latitude': '42.64812', 'longitude': '-73.75066'}",814,44,2030
Craig St & Emmett St,2304,-73.936233,42.805083,353,SCHENECTADY,EMMETT,No,No,No,No,Yes,No,"{'latitude': '42.805083', 'longitude': '-73.936233'}",104,76,2142
4th St & Congress St,7125,-73.68958,42.72853,"22,80,85,87,182,224,286,370, 522",TROY,CONGRESS,No,No,No,No,Yes,No,"{'latitude': '42.72853', 'longitude': '-73.68958'}",110,11,2138
Altamont Rd & Woodstock Ln,12754,,,719,NEW SCOTLAND,ALTAMONT,No,No,No,No,Yes,No,,,,
Hoosick St & Reid Ave,2863,-73.66133,42.738265,"87, 96",TROY,VALLEYVIEW,No,No,No,No,Yes,No,"{'latitude': '42.738265', 'longitude': '-73.66133'}",110,11,2138
Wolf Rd & Hannaford Plaza,10521,-73.81029,42.71636,"117, 190",COLONIE,WOLF,No,No,No,No,Yes,No,"{'latitude': '42.71636', 'longitude': '-73.81029'}",834,42,2030
Carman Rd & Fort Hunter Rd,3690,-73.94279,42.75959,763,GUILDERLAND,FORT HUNTER,No,No,No,No,Yes,No,"{'latitude': '42.75959', 'longitude': '-73.94279'}",832,72,2142
Rt 50 & Hutchins Rd,12893,,,450,SARATOGA SPRINGS,HUTCHENS,No,No,No,No,Yes,No,,,,
Cook Dr & Colvin Ave,11633,-73.66717,42.73089,286,TROY,COOK,No,No,No,No,Yes,No,"{'latitude': '42.73089', 'longitude': '-73.66717'}",110,11,2138
Lakeview Ave & Crane St,12469,-73.94352,42.79175,353,SCHENECTADY,LAKEVIEW,No,No,No,No,Yes,No,"{'latitude': '42.79175', 'longitude': '-73.94352'}",104,72,2142
Broadway & State St (Parking Garage Crosswalk),12411,-73.943077,42.812596,351,SCHENECTADY,STATE HWY 5,No,No,Yes,No,Yes,No,"{'latitude': '42.812596', 'longitude': '-73.943077'}",104,74,2142
Whitehall Rd & Marwill St,1075,-73.78916,42.64213,"6,801,804, 805",ALBANY,WHITEHALL,No,No,No,No,Yes,No,"{'latitude': '42.64213', 'longitude': '-73.78916'}",814,46,2030
Western Ave & Windingbrook Dr,10607,-73.9026,42.70023,"719, 763",GUILDERLAND,WINDING BROOK,No,No,No,No,Yes,No,"{'latitude': '42.70023', 'longitude': '-73.9026'}",832,1229,2030
Guilderland Ave & Euclid Ave,1644,-73.96073,42.79838,763,SCHENECTADY,EUCLID,No,No,No,No,Yes,No,"{'latitude': '42.79838', 'longitude': '-73.96073'}",104,75,2142
Central Ave & Ontario St,221,-73.77558,42.66735,"1,99,712, 807",ALBANY,ONTARIO,No,Yes,Yes,No,Yes,No,"{'latitude': '42.66735', 'longitude': '-73.77558'}",814,43,2030
Western Ave & Alvinia Rd,386,-73.88036,42.69513,"117,719, 763",GUILDERLAND,US HWY 20,No,No,No,No,Yes,No,"{'latitude': '42.69513', 'longitude': '-73.88036'}",832,40,2030
Columbia Tpke & Sunset Rd,2235,-73.69035,42.57738,233,SCHODACK,UNKNOWN,No,No,No,No,Yes,No,"{'latitude': '42.57738', 'longitude': '-73.69035'}",112,1158,2138
22 Corporate Woods Blvd,12818,,,"540, 737",COLONIE,UNKNOWN,No,No,No,No,Yes,No,,,,
State St & Linda Ln,2420,-73.89733,42.77456,355,SCHENECTADY,LINDA,No,No,No,No,Yes,No,"{'latitude': '42.77456', 'longitude': '-73.89733'}",104,73,2142
Rt 2 & Glenwood Dr,2920,-73.74658,42.74351,370,COLONIE,SYLVAN,No,No,No,No,Yes,No,"{'latitude': '42.74351', 'longitude': '-73.74658'}",834,1288,2030
New Loudon Rd & Turner Ln,1905,-73.75555,42.71101,182,COLONIE,LOUDON,No,No,No,No,Yes,No,"{'latitude': '42.71101', 'longitude': '-73.75555'}",834,48,2030
Mohawk Ave & Collins St,3610,-73.96017,42.82449,450,GLENVILLE,STATE HWY 5,No,Yes,No,No,Yes,No,"{'latitude': '42.82449', 'longitude': '-73.96017'}",108,50,2142
Altamont Ave & Schuyler St,12451,-73.93134,42.79369,352,SCHENECTADY,AVENUE H,No,No,No,No,Yes,No,"{'latitude': '42.79369', 'longitude': '-73.93134'}",104,72,2142
Broadway @ Congress Park,11472,-73.785886,43.0789,"76,450,475,540, 875",SARATOGA SPRINGS,CONGRESS,No,No,Yes,No,Yes,No,"{'latitude': '43.0789', 'longitude': '-73.785886'}",994,147,2141
Chrisler Ave & Ten Eyck Ave,12472,-73.9383,42.79083,353,SCHENECTADY,VAN VELSEN,No,No,No,No,Yes,No,"{'latitude': '42.79083', 'longitude': '-73.9383'}",104,72,2142
Broadway & Denver Ave,12382,,,351,ROTTERDAM,DENVER,No,No,No,No,Yes,No,,,,
Mt. Pleasant Commons,12836,,,830,SCHENECTADY,CHRISLER,No,No,No,No,No,No,,,,
New Scotland Ave & W. Erie St,457,-73.79433,42.65425,"13,805, 806",ALBANY,HOLLYWOOD,No,No,No,No,Yes,No,"{'latitude': '42.65425', 'longitude': '-73.79433'}",814,45,2030
Albany St & Germania Ave,3656,-73.938166,42.809042,353,SCHENECTADY,ALBANY,No,No,No,No,Yes,No,"{'latitude': '42.809042', 'longitude': '-73.938166'}",104,76,2142
Broadway & State St,11589,-73.750868,42.649048,"22,114,801, 870",ALBANY,STATE,No,No,No,No,Yes,No,"{'latitude': '42.649048', 'longitude': '-73.750868'}",814,44,2030
Albany Shaker Rd & Marie Pkwy,2661,-73.784061,42.714692,737,COLONIE,JAMES,No,No,No,No,Yes,No,"{'latitude': '42.714692', 'longitude': '-73.784061'}",834,48,2030
Eagle St & Warren St,1227,-73.76199,42.64428,"801,805, 806",ALBANY,WARREN,No,No,No,No,Yes,No,"{'latitude': '42.64428', 'longitude': '-73.76199'}",814,39,2030
Western Ave & Gabriel Terr,406,-73.85619,42.68701,"10,117,190,763, 806",GUILDERLAND,ALTON,No,No,No,No,Yes,No,"{'latitude': '42.68701', 'longitude': '-73.85619'}",832,40,2030
Malden St & Chatham St,2524,-73.60972,42.51542,520,NASSAU,GRISWALD,No,No,No,No,Yes,No,"{'latitude': '42.51542', 'longitude': '-73.60972'}",126,1296,2138
Madison Ave & Partridge St,272,-73.78397,42.66185,"114, 763",ALBANY,ONTARIO,No,No,No,No,Yes,No,"{'latitude': '42.66185', 'longitude': '-73.78397'}",814,40,2030
Columbia Tpke & Schodack Plaza,2249,-73.68312,42.56577,233,SCHODACK,KRAFT,No,Yes,Yes,No,Yes,No,"{'latitude': '42.56577', 'longitude': '-73.68312'}",112,1158,2138
Buff Rd & Quite Harbor Dr,12855,,,451,SARATOGA SPRINGS,QUIET HARBOR,No,No,No,No,Yes,No,,,,
Hudson Valley Community College,10988,-73.68781,42.6963,"85, 224",TROY,CENTER,No,No,Yes,No,Yes,No,"{'latitude': '42.6963', 'longitude': '-73.68781'}",110,11,2138
Pawling Ave & Winter St,4397,-73.65608,42.70179,286,TROY,WINTER,No,No,No,No,Yes,No,"{'latitude': '42.70179', 'longitude': '-73.65608'}",110,11,2138
Bridge Ave & 3rd St,4032,-73.69122,42.76737,802,COHOES,BRIDGE,No,No,No,No,Yes,No,"{'latitude': '42.76737', 'longitude': '-73.69122'}",835,1176,2030
Sand Creek Rd & Rondack Rd,607,-73.7882,42.69454,125,COLONIE,WARWICK,No,No,No,No,Yes,No,"{'latitude': '42.69454', 'longitude': '-73.7882'}",834,42,2030
Grafton Lake State Park,11707,,,96,GRAFTON,GRAFTON LK ST PK WAY,No,No,No,No,Yes,No,,,,
Broadway & Division St,12155,-73.785508,43.081644,"450,452, 875",SARATOGA SPRINGS,DIVISION,No,No,No,No,Yes,No,"{'latitude': '43.081644', 'longitude': '-73.785508'}",994,147,2141
Broadway & Lake Ave,11483,-73.7849,43.08288,"450,452, 875",SARATOGA SPRINGS,CAROLINE,No,No,No,No,Yes,No,"{'latitude': '43.08288', 'longitude': '-73.7849'}",994,147,2141
2nd Ave & 124th St,815,-73.672249,42.785624,85,TROY,123RD,No,No,Yes,No,Yes,No,"{'latitude': '42.785624', 'longitude': '-73.672249'}",110,12,2138
Church St & Van Rensselaer St (Saratoga Hospital),12126,-73.79653,43.0848,451,SARATOGA SPRINGS,VAN RENSSELAER,No,No,No,No,Yes,No,"{'latitude': '43.0848', 'longitude': '-73.79653'}",994,147,2141
1 Executive Centre Dr (Honeywell),12549,,,155,ALBANY,PITCH PINE,No,No,No,No,Yes,No,,,,
Price Rite Crosstown Plaza,12949,,,830,SCHENECTADY,UNKNOWN,No,No,No,No,Yes,No,,,,
500 16th St (Henratta Apartments),12631,,,815,WATERVLIET,5TH,No,No,No,No,Yes,No,,,,
Ontario St & Olmstead St,11058,-73.70312,42.774167,"182, 802",COHOES,ONTARIO,No,No,No,No,Yes,No,"{'latitude': '42.774167', 'longitude': '-73.70312'}",835,1176,2030
Ferry St & 6th Ave (City Station),12775,,,289,TROY,FERRY,No,No,No,No,Yes,No,,,,
Union St & Palmer Ave,2458,-73.90105,42.80334,370,SCHENECTADY,REGENT,No,No,No,No,Yes,No,"{'latitude': '42.80334', 'longitude': '-73.90105'}",104,78,2142
Old Karner Rd at Post Office,12638,-73.8502,42.728447,155,COLONIE,UNKNOWN,No,No,No,No,Yes,No,"{'latitude': '42.728447', 'longitude': '-73.8502'}",834,42,2030
Quail St & Western Ave,3458,-73.77732,42.66183,100,ALBANY,WESTERN,No,No,No,No,Yes,No,"{'latitude': '42.66183', 'longitude': '-73.77732'}",814,40,2030
Rt 50 & Bruce Rd,10307,-73.96001,42.82918,450,GLENVILLE,BRUCE,No,No,No,No,Yes,No,"{'latitude': '42.82918', 'longitude': '-73.96001'}",108,50,2142
629 Albany Shaker Rd (William K. Sanford Library),10856,-73.792377,42.725362,737,COLONIE,ALBANY SHAKER,No,No,No,No,Yes,No,"{'latitude': '42.725362', 'longitude': '-73.792377'}",834,48,2030
15th St & College Ave,3110,-73.67803,42.72678,"87, 286",TROY,TIBBITS,No,No,No,No,Yes,No,"{'latitude': '42.72678', 'longitude': '-73.67803'}",110,11,2138
Ontario St & Avenue B,1242,-73.7882,42.65453,805,ALBANY,WOODLAWN,No,No,No,No,Yes,No,"{'latitude': '42.65453', 'longitude': '-73.7882'}",814,45,2030
Central Ave & N Manning Blvd - N. Manning Station,211,-73.779847,42.671098,"1,99,712,807, 905",ALBANY,MANNING,No,Yes,Yes,No,Yes,No,"{'latitude': '42.671098', 'longitude': '-73.779847'}",814,43,2030
Federal St & 5th Ave,10077,-73.687488,42.734327,"80,286, 289",TROY,FEDERAL,No,No,No,No,Yes,No,"{'latitude': '42.734327', 'longitude': '-73.687488'}",110,11,2138
Quail St & Hamilton St,3276,-73.779427,42.659832,100,ALBANY,HUDSON,No,No,No,No,Yes,No,"{'latitude': '42.659832', 'longitude': '-73.779427'}",814,40,2030
Main Ave & Forest Rd,2353,-73.941984,42.799532,353,SCHENECTADY,FOREST,No,No,No,No,Yes,No,"{'latitude': '42.799532', 'longitude': '-73.941984'}",104,72,2142
2nd Ave & 102nd St,4270,-73.68252,42.75663,85,TROY,102ND,No,No,Yes,No,Yes,No,"{'latitude': '42.75663', 'longitude': '-73.68252'}",110,11,2138
Church St & Broadway,11514,-73.785196,43.083319,451,SARATOGA SPRINGS,BROADWAY,No,No,No,No,Yes,No,"{'latitude': '43.083319', 'longitude': '-73.785196'}",994,147,2141
Hackett Blvd & Hollywood Ave,1156,-73.79688,42.64947,"734, 805",ALBANY,HOLLYWOOD,No,No,No,No,Yes,No,"{'latitude': '42.64947', 'longitude': '-73.79688'}",814,46,2030
Veterans Way & Excelsior Ave,12223,-73.76249,43.091091,"450, 452",SARATOGA SPRINGS,EXCELSIOR,No,No,No,No,Yes,No,"{'latitude': '43.091091', 'longitude': '-73.76249'}",994,147,2141
Clinton Ave & Ontario St,10342,,,"125,801, 805",ALBANY,ONTARIO,No,No,No,No,Yes,No,,,,
Central Ave & Lisha Kill Rd,2964,-73.87119,42.75102,355,COLONIE,LISHA KILL,No,No,No,No,Yes,No,"{'latitude': '42.75102', 'longitude': '-73.87119'}",834,73,2030
Henry Johnson Blvd & Central Ave,3003,-73.76493,42.65839,"182, 737",ALBANY,CENTRAL,No,No,No,No,Yes,No,"{'latitude': '42.65839', 'longitude': '-73.76493'}",814,43,2030
100 Curry Ave Park & Ride,12312,,,540,MALTA,CHANGO,No,No,No,No,Yes,No,,,,
Rt 4 & Jordan Rd (Rensselaer TechPark),11123,-73.690797,42.676731,"224, 808",NORTH GREENBUSH,RAMP,No,No,Yes,No,Yes,No,"{'latitude': '42.676731', 'longitude': '-73.690797'}",125,11,2138
Broadway & Church Ave,12186,-73.784772,43.08345,"450, 452",SARATOGA SPRINGS,CHURCH,No,No,No,No,Yes,No,"{'latitude': '43.08345', 'longitude': '-73.784772'}",994,147,2141
Columbia St & Congress St,8021,-73.70205,42.76987,802,COHOES,MAIN,No,No,No,No,Yes,No,"{'latitude': '42.76987', 'longitude': '-73.70205'}",835,1176,2030
Colvin Ave & Washington Ave,10356,-73.797552,42.676846,712,ALBANY,WASHINGTON,No,No,No,No,Yes,No,"{'latitude': '42.676846', 'longitude': '-73.797552'}",814,43,2030
Mariaville Rd & Phillip St,12353,-73.985678,42.791134,351,ROTTERDAM,WILLIAM,No,No,No,No,Yes,No,"{'latitude': '42.791134', 'longitude': '-73.985678'}",105,75,2142
Whitehall Rd & Marwill St,634,-73.789477,42.642198,"6,801,804, 805",ALBANY,HOLMES,No,No,No,No,Yes,No,"{'latitude': '42.642198', 'longitude': '-73.789477'}",814,46,2030
23rd St & Whitehall,10148,-73.700185,42.732827,522,WATERVLIET,BROADWAY,No,No,No,No,Yes,No,"{'latitude': '42.732827', 'longitude': '-73.700185'}",828,19,2030
S. Allen St & Myrtle Ave,1121,-73.79385,42.66485,"138,801,804, 805",ALBANY,MORRIS,No,No,No,No,Yes,No,"{'latitude': '42.66485', 'longitude': '-73.79385'}",814,45,2030
Delaware Ave & Maple Terr,1324,-73.843883,42.618243,18,BETHLEHEM,BENNETT,No,No,No,No,Yes,No,"{'latitude': '42.618243', 'longitude': '-73.843883'}",837,1180,2030
709 Central Ave (ShopRite Albany),203,-73.786678,42.677064,"1, 712",ALBANY,KING,No,No,No,No,Yes,No,"{'latitude': '42.677064', 'longitude': '-73.786678'}",814,43,2030
Vley Rd & 5th St,1728,-73.962793,42.833097,353,GLENVILLE,5TH,No,No,No,No,Yes,No,"{'latitude': '42.833097', 'longitude': '-73.962793'}",108,50,2142
Southern Blvd & Delaware Ave,13,-73.78548,42.6392,806,ALBANY,DELAWARE,No,No,No,No,Yes,No,"{'latitude': '42.6392', 'longitude': '-73.78548'}",814,46,2030
625 Mt. Hope Dr,10688,-73.76495,42.63206,"7,716, 806",ALBANY,PEARL,No,No,Yes,No,Yes,No,"{'latitude': '42.63206', 'longitude': '-73.76495'}",814,39,2030
Quail St & Maple Ave,3491,-73.78585,42.65379,100,ALBANY,WOODLAWN,No,No,No,No,Yes,No,"{'latitude': '42.65379', 'longitude': '-73.78585'}",814,45,2030
Morton Ave & Oneida Terr,690,-73.76994,42.64516,805,ALBANY,MORTON,No,No,No,No,No,No,"{'latitude': '42.64516', 'longitude': '-73.76994'}",814,39,2030
3rd St & Garden Pl,11585,-73.733535,42.652053,"214, 808",RENSSELAER,MACNAUGHTON,No,No,No,No,Yes,No,"{'latitude': '42.652053', 'longitude': '-73.733535'}",115,1309,2138
Washington Ave & Forbes Ave,10783,-73.72694,42.6587,"214, 808",RENSSELAER,FORBES,No,No,No,No,Yes,No,"{'latitude': '42.6587', 'longitude': '-73.72694'}",115,1309,2138
Main Ave  & Crane St,2354,-73.94702,42.79877,353,SCHENECTADY,HOWARD,No,No,No,No,Yes,No,"{'latitude': '42.79877', 'longitude': '-73.94702'}",104,72,2142
New Scotland Rd & Wood Terr,1010,-73.84152,42.6488,"13, 113",ALBANY,WOOD,No,No,No,No,Yes,No,"{'latitude': '42.6488', 'longitude': '-73.84152'}",814,45,2030
Carman Rd & Morningside Dr,1580,-73.934,42.72066,763,GUILDERLAND,MORNINGSIDE,No,No,No,No,Yes,No,"{'latitude': '42.72066', 'longitude': '-73.934'}",832,72,2030
1573 Columbia Tpke,2606,-73.688108,42.573404,233,SCHODACK,BROWN,No,No,No,No,No,No,"{'latitude': '42.573404', 'longitude': '-73.688108'}",112,1158,2138
444 Broadway (Price Chopper Plaza),101,-73.71696,42.70131,22,COLONIE,CONNECTING,No,No,Yes,No,Yes,No,"{'latitude': '42.70131', 'longitude': '-73.71696'}",834,41,2030
Delaware Ave & Becker Terr,2149,-73.83022,42.62324,18,BETHLEHEM,HOWARD,No,No,No,No,Yes,No,"{'latitude': '42.62324', 'longitude': '-73.83022'}",837,1180,2030
Northern Blvd & Shaker Rd,3267,-73.75031,42.67381,182,ALBANY,CONNECTING,No,No,Yes,No,Yes,No,"{'latitude': '42.67381', 'longitude': '-73.75031'}",814,41,2030
Hackett Blvd & Joelson Ct,10847,-73.79224,42.64729,805,ALBANY,JOELSON,No,No,No,No,Yes,No,"{'latitude': '42.64729', 'longitude': '-73.79224'}",814,46,2030
Cherry Ave & Oak Rd,1278,-73.855293,42.623913,"18, 719",BETHLEHEM,ORCHARD,No,No,No,No,Yes,No,"{'latitude': '42.623913', 'longitude': '-73.855293'}",837,1180,2030
Western Ave & Colonial Ave,245,-73.80322,42.67007,"10,11,763,801, 808",ALBANY,US HWY 20,No,No,No,No,Yes,No,"{'latitude': '42.67007', 'longitude': '-73.80322'}",814,40,2030
Delaware Ave & 2nd Ave,1979,-73.78471,42.63999,"18, 805",ALBANY,WHITEHALL,No,No,No,No,Yes,No,"{'latitude': '42.63999', 'longitude': '-73.78471'}",814,46,2030
3rd St & Ferry St,890,-73.69102,42.72788,"85,224, 286",TROY,CONGRESS,No,No,No,No,Yes,No,"{'latitude': '42.72788', 'longitude': '-73.69102'}",110,11,2138
Clinton Ave & Dove St,3464,-73.7579,42.65875,"125,801, 805",ALBANY,DOVE,No,No,No,No,Yes,No,"{'latitude': '42.65875', 'longitude': '-73.7579'}",814,47,2030
Rosa Rd & Fulton Ave,12503,-73.90912,42.825738,352,SCHENECTADY,ROSA,No,No,No,No,Yes,No,"{'latitude': '42.825738', 'longitude': '-73.90912'}",104,77,2142
2nd Ave & 113th St,804,-73.67831,42.77217,85,TROY,112TH,No,No,No,No,Yes,No,"{'latitude': '42.77217', 'longitude': '-73.67831'}",110,12,2138
Colonial St & Cortland St,10635,-73.80653,42.66697,806,ALBANY,US HWY 20,No,No,No,No,Yes,No,"{'latitude': '42.66697', 'longitude': '-73.80653'}",814,40,2030
Maple Rd & Scotch Pine Dr,532,-73.91704,42.64794,719,NEW SCOTLAND,APPLEBLOSSOM,No,No,No,No,Yes,No,"{'latitude': '42.64794', 'longitude': '-73.91704'}",830,16,2030
Rt 50 & Rt 67,10302,-73.852854,42.987644,450,BALLSTON,DUNNING,No,No,No,No,Yes,No,"{'latitude': '42.987644', 'longitude': '-73.852854'}",1011,1148,2141
Old Loudon Rd & Purtell Ave,1895,-73.758821,42.747763,182,COLONIE,PURTELL,No,No,No,No,Yes,No,"{'latitude': '42.747763', 'longitude': '-73.758821'}",834,1288,2030
Main Ave & Hannaford Ct,4343,-73.649376,42.697806,286,NORTH GREENBUSH,MAIN,No,No,No,No,Yes,No,"{'latitude': '42.697806', 'longitude': '-73.649376'}",125,38,2138
Pawling Ave & Winter St,4458,-73.65711,42.70219,286,TROY,BILLINGS,No,No,No,No,Yes,No,"{'latitude': '42.70219', 'longitude': '-73.65711'}",110,11,2138
Daughters of Sarah,11972,-73.85389,42.700449,155,ALBANY,FRONTAGE,No,No,No,No,Yes,No,"{'latitude': '42.700449', 'longitude': '-73.85389'}",814,40,2030
Altamont Ave & Walmart,11212,-73.942653,42.786327,"352, 353",ROTTERDAM,FLOWER,No,Yes,Yes,No,Yes,No,"{'latitude': '42.786327', 'longitude': '-73.942653'}",105,72,2142
Garner St & Johnston Ave,4152,-73.70746,42.77541,"182, 802",COHOES,WILLOW,No,No,No,No,Yes,No,"{'latitude': '42.77541', 'longitude': '-73.70746'}",835,1176,2030
Rt 7 & Best Rd,2580,-73.608899,42.540185,520,SCHODACK,BEST,No,No,No,No,Yes,No,"{'latitude': '42.540185', 'longitude': '-73.608899'}",112,1296,2138
N. Main Ave & Washinton Ave,11436,-73.784841,42.668396,"801, 805",ALBANY,SPRING,No,No,No,No,Yes,No,"{'latitude': '42.668396', 'longitude': '-73.784841'}",814,40,2030
Union St & Balltown Rd,3554,-73.892879,42.798872,370,NISKAYUNA,UNION,No,No,No,No,Yes,No,"{'latitude': '42.798872', 'longitude': '-73.892879'}",107,78,2142
